title,content,category,price
Nano Bubble Ozone,"Deeply cleanses skin and coat using ultra-fine nano bubbles | Helps reduce bacteria, yeast and odour | Improves circulation and promotes healthier skin | Suitable for sensitive skin and regular maintenance",spa-treatments,"$30 / $50"
Trix Derm Care,"Targets skin issues such as irritation, redness and dandruff | Helps balance oil production and restore skin barrier | Soothes inflamed or problematic skin | Ideal for pets with recurring skin concerns",spa-treatments,"$80 / $100 / $120"
Ayurveda Organic Herb,"Uses natural herbal ingredients to detoxify the skin | Helps reduce itchiness and inflammation | Promotes healthier coat growth naturally | Suitable for pets with sensitive or stressed skin",spa-treatments,"$65 / $85 / $125"
Sulphur Salt Soak,"Helps relieve skin irritation and mild fungal issues | Supports healing of dry, flaky or itchy skin | Improves circulation and skin renewal | Gentle yet effective therapeutic soak",spa-treatments,"$30 / $50 / $80"
Derma Moist Bath,"Deeply hydrates dry and damaged skin | Restores moisture balance and improves coat softness | Reduces dryness, flakiness and tight skin | Ideal for pets with dry or dull coats",spa-treatments,"$60 / $90 / $120"
Nano Pro Bath,"Advanced nano technology for deeper cleansing | Removes trapped dirt, bacteria and impurities from pores | Enhances skin absorption of treatment products | Leaves coat light, clean and refreshed",spa-treatments,"$50 / $70 / $90"
Afloat Collagen,"Infuses collagen to strengthen coat structure | Improves coat elasticity, shine and smoothness | Helps repair damaged or brittle fur | Ideal for long-coat breeds and coat maintenance",spa-treatments,"$50 / $80 / $120"
Afloat Moisture,"Intense hydration for dry or dehydrated coats | Improves coat softness and manageability | Reduces frizz and static | Suitable for regular moisture maintenance",spa-treatments,"$30 / $50 / $80"
Carbonated Ozone Therapy,"Uses carbonated ozone to stimulate skin circulation | Helps eliminate bacteria and odour | Supports healthier skin regeneration | Leaves skin refreshed and coat revitalised",spa-treatments,"$60 / $90 / $120"
Joki Premium Treatment,"Luxury spa treatment for overall skin and coat health | Deep nourishment and conditioning | Improves coat texture and shine | Perfect for pets needing extra pampering",spa-treatments,"$60 / $90 / $120"
MDST Anti-Aging,"Helps slow down signs of skin ageing | Improves skin elasticity and hydration | Supports healthier coat growth | Ideal for senior pets or thinning coats",spa-treatments,"$100 / $150 / $250"
MDST Anti-Itch,"Calms itchy, irritated and sensitive skin | Helps reduce redness and discomfort | Supports skin healing and balance | Suitable for pets with allergy-prone skin",spa-treatments,"$90 / $140 / $200"
MDST Hypoallergenic,"Formulated for highly sensitive skin | Minimises risk of irritation and reactions | Gentle cleansing and conditioning | Ideal for pets with allergies or delicate skin",spa-treatments,"$90 / $140 / $200"
MDST Mineral Mud Spa,"Rich in natural minerals to detoxify skin | Helps draw out impurities and toxins | Improves skin condition and coat vitality | Leaves skin balanced and coat healthier",spa-treatments,"$100 / $150 / $250"